config_name,barrel_shifter,enable_mul,enable_div,enable_fast_mul,enable_counters,enable_irq
baseline_000000,0,0,0,0,0,0
irq_000001,0,0,0,0,0,1
counter_000010,0,0,0,0,1,0
counter_irq_000011,0,0,0,0,1,1
fastmul_000100,0,0,0,1,0,0
fastmul_irq_000101,0,0,0,1,0,1
fastmul_counter_000110,0,0,0,1,1,0
fastmul_counter_irq_000111,0,0,0,1,1,1
div_001000,0,0,1,0,0,0
div_irq_001001,0,0,1,0,0,1
div_counter_001010,0,0,1,0,1,0
div_counter_irq_001011,0,0,1,0,1,1
div_fastmul_001100,0,0,1,1,0,0
div_fastmul_irq_001101,0,0,1,1,0,1
div_fastmul_counter_001110,0,0,1,1,1,0
div_fastmul_counter_irq_001111,0,0,1,1,1,1
mul_010000,0,1,0,0,0,0
mul_irq_010001,0,1,0,0,0,1
mul_counter_010010,0,1,0,0,1,0
mul_counter_irq_010011,0,1,0,0,1,1
mul_fastmul_010100,0,1,0,1,0,0
mul_fastmul_irq_010101,0,1,0,1,0,1
mul_fastmul_counter_010110,0,1,0,1,1,0
mul_fastmul_counter_irq_010111,0,1,0,1,1,1
mul_div_011000,0,1,1,0,0,0
mul_div_irq_011001,0,1,1,0,0,1
mul_div_counter_011010,0,1,1,0,1,0
mul_div_counter_irq_011011,0,1,1,0,1,1
mul_div_fastmul_011100,0,1,1,1,0,0
mul_div_fastmul_irq_011101,0,1,1,1,0,1
mul_div_fastmul_counter_011110,0,1,1,1,1,0
mul_div_fastmul_counter_irq_011111,0,1,1,1,1,1
barrel_100000,1,0,0,0,0,0
barrel_irq_100001,1,0,0,0,0,1
barrel_counter_100010,1,0,0,0,1,0
barrel_counter_irq_100011,1,0,0,0,1,1
barrel_fastmul_100100,1,0,0,1,0,0
barrel_fastmul_irq_100101,1,0,0,1,0,1
barrel_fastmul_counter_100110,1,0,0,1,1,0
barrel_fastmul_counter_irq_100111,1,0,0,1,1,1
barrel_div_101000,1,0,1,0,0,0
barrel_div_irq_101001,1,0,1,0,0,1
barrel_div_counter_101010,1,0,1,0,1,0
barrel_div_counter_irq_101011,1,0,1,0,1,1
barrel_div_fastmul_101100,1,0,1,1,0,0
barrel_div_fastmul_irq_101101,1,0,1,1,0,1
barrel_div_fastmul_counter_101110,1,0,1,1,1,0
barrel_div_fastmul_counter_irq_101111,1,0,1,1,1,1
barrel_mul_110000,1,1,0,0,0,0
barrel_mul_irq_110001,1,1,0,0,0,1
barrel_mul_counter_110010,1,1,0,0,1,0
barrel_mul_counter_irq_110011,1,1,0,0,1,1
barrel_mul_fastmul_110100,1,1,0,1,0,0
barrel_mul_fastmul_irq_110101,1,1,0,1,0,1
barrel_mul_fastmul_counter_110110,1,1,0,1,1,0
barrel_mul_fastmul_counter_irq_110111,1,1,0,1,1,1
barrel_mul_div_111000,1,1,1,0,0,0
barrel_mul_div_irq_111001,1,1,1,0,0,1
barrel_mul_div_counter_111010,1,1,1,0,1,0
barrel_mul_div_counter_irq_111011,1,1,1,0,1,1
barrel_mul_div_fastmul_111100,1,1,1,1,0,0
barrel_mul_div_fastmul_irq_111101,1,1,1,1,0,1
barrel_mul_div_fastmul_counter_111110,1,1,1,1,1,0
all_features_111111,1,1,1,1,1,1
